Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"7 Day Total Sales ","Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"May 9, 2022","Jun 7, 2022",instant pot trivet,11,0.85%,instant pot trivet,EXACT,Silicone Bakeware Sling,Silicone Bakeware Sling - SP - KW - Main,Silicone Bakeware Sling - SP - KW - Main - KW Exact,USD,18,604,2.9800%,$28.18,$1.5656,1,$13.95,202.0100%,0.50,5.5600%
"May 9, 2022","Jun 7, 2022",dishwasher cleaning tablets,6,2.55%,dishwasher cleaning tablet,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,33,410,8.0500%,$69.33,$2.1009,18,$285.8,24.2600%,4.12,54.5500%
"May 9, 2022","Jun 7, 2022",dishwasher cleaning tablets,6,2.55%,dishwasher cleaning tablets,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,23,200,11.5000%,$69.25,$3.0109,14,$222.3,31.1500%,3.21,60.8700%
"May 9, 2022","Jun 7, 2022",instant pot 6quart lid,1,100.00%,instant pot 6quart lid,EXACT,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Exact - Set 1,USD,2,610,0.3300%,$1.27,$0.635,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",kitchen wall shelf,13,2.04%,kitchen wall shelf,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,16,501,3.1900%,$26.32,$1.645,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",kitchen wall shelf,13,2.04%,kitchen wall shelves,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,2,109,1.8300%,$3.44,$1.72,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",bathroom shelves wall mounted,90,0.07%,bathroom shelf wall mounted,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,13,606,2.1500%,$21.62,$1.6631,1,$59.95,36.0600%,2.77,7.6900%
"May 9, 2022","Jun 7, 2022",circle cake pan,2,16.20%,circle cake pans,EXACT,Cakeware Pans,Cakeware Pans General - SP - KW - Main,Cakeware Pans General - SP - KW - Main - KW Exact,USD,46,600,7.6700%,$56.63,$1.2311,8,$159.6,35.4800%,2.82,17.3900%
"May 9, 2022","Jun 7, 2022",b08fmlht6m,1,63.14%,"asin=\""B08FMLHT6M\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,6,591,1.0200%,$4.6,$0.7667,1,$12.95,35.5200%,2.82,16.6700%
"May 9, 2022","Jun 7, 2022",sports laundry detergent,3,21.31%,sports laundry detergent,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,USD,20,590,3.3900%,$78.63,$3.9314999999999998,7,$158.67,49.5600%,2.02,35.0000%
"May 9, 2022","Jun 7, 2022",front loader washing machine cleaner,4,13.03%,front loader washing machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,55,589,9.3400%,$124.18,$2.2578,30,$465.45,26.6800%,3.75,54.5500%
"May 9, 2022","Jun 7, 2022",b01loq2lgo,1,36.11%,"asin=\""B01LOQ2LGO\""",-,No Portfolio,Silicone Steamer Basket - SP - Prod - Comp,Silicone Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct Silicone Steamers,USD,5,586,0.8500%,$3.13,$0.626,1,$18.95,16.5200%,6.05,20.0000%
"May 9, 2022","Jun 7, 2022",small plant stand,60,0.19%,small plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,2,241,0.8300%,$1.64,$0.82,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",small plant stand,60,0.19%,small plant stand,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,8,333,2.4000%,$2.11,$0.2638,1,$24.95,8.4600%,11.82,12.5000%
"May 9, 2022","Jun 7, 2022",shelves for wall,30,0.30%,shelf for wall,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,7,311,2.2500%,$9.87,$1.41,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",shelves for wall,30,0.30%,shelf wall,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,7,262,2.6700%,$11.76,$1.68,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",6 inch springform pans,6,3.88%,6 inch springform pan,PHRASE,Cakeware Pans,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 7 Inch - SP - KW - Phrase - KW Phrase,USD,16,567,2.8200%,$10.65,$0.6656,3,$43.8,24.3200%,4.11,18.7500%
"May 9, 2022","Jun 7, 2022",athletic detergent,2,20.19%,athletic detergent,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,USD,26,561,4.6300%,$123.43,$4.7473,8,$224.55,54.9700%,1.82,30.7700%
"May 9, 2022","Jun 7, 2022",b07gth57f7,1,49.91%,"asin=\""B07GTH57F7\""",-,Cakeware Pans,Cakeware Pans 4 Inch - SP - Prod - Comp,Cakeware Pans 4 Inch - SP - Prod - Comp - ASIN Comp - Direct,USD,7,561,1.2500%,$4.94,$0.7056999999999999,1,$18.95,26.0700%,3.84,14.2900%
"May 9, 2022","Jun 7, 2022",baking pans set,105,0.01%,baking+pans+set,EXACT,Cakeware Pans,Cakeware Pans 4 7 9 - SP - KW - Main,Cakeware Pans 4 7 9 - SP - KW - Main - KW Exact,USD,3,560,0.5400%,$1.47,$0.49,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instapot ultra lid,1,100.00%,instapot ultra lid,EXACT,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Exact - Set 1,USD,1,560,0.1800%,$0.76,$0.76,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",broccoli steamer,1,30.90%,broccoli steamer,EXACT,Exp Steamer Basket,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Exact,USD,54,558,9.6800%,$33.91,$0.628,22,$296.95,11.4200%,8.76,40.7400%
"May 9, 2022","Jun 7, 2022",7 springform pan,1,56.04%,7 springform pan,EXACT,Cakeware Pans,Cakeware Pans 7 Inch - SP - KW - Main,Cakeware Pans 7 Inch - SP - KW - Main - KW Exact,USD,43,557,7.7200%,$25.06,$0.5828,18,$241.85,10.3600%,9.65,41.8600%
"May 9, 2022","Jun 7, 2022",silicone ring pressure cooker,1,79.62%,silicone ring pressure cooker,EXACT,IP Sealing Ring,IP Sealing Ring 8 QT - SP - KW - Main,IP Sealing Ring 8 QT - SP - KW - Main - KW Exact - Set 2,USD,1,543,0.1800%,$0.49,$0.49,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07kckjxj3,4,0.83%,"asin=\""B07KCKJXJ3\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,3,542,0.5500%,$3.17,$1.0567,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instapot duo lid,1,98.17%,instapot duo lid,EXACT,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Exact - Set 1,USD,4,537,0.7400%,$2.87,$0.7175,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07yxp5r15,4,6.02%,"asin=\""B07YXP5R15\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,2,536,0.3700%,$2.62,$1.31,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",the dishwasher cleaner,8,6.85%,dishwasher cleaners,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,70,339,20.6500%,$116.84,$1.6691,22,$346.65,33.7100%,2.97,31.4300%
"May 9, 2022","Jun 7, 2022",the dishwasher cleaner,8,6.85%,dishwasher cleaner,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,41,194,21.1300%,$82.6,$2.0146,9,$143.55,57.5400%,1.74,21.9500%
"May 9, 2022","Jun 7, 2022",b0000ulzyk,1,60.85%,"asin=\""B0000ULZYK\""",-,Cakeware Pans,Cakeware Pans 9 Inch - SP - Prod - Comp,Cakeware Pans 9 Inch - SP - Prod - Comp - ASIN Comp - Direct,USD,4,530,0.7500%,$2.5,$0.625,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07jzbdm51,2,34.33%,"asin=\""B07JZBDM51\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,5,530,0.9400%,$4.55,$0.91,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instant pot silicone steamer basket,3,9.50%,instant pot silicone steamer basket,EXACT,Silicone Steamer Basket,Silicone Steamer Basket - SP - KW - Main,Silicone Steamer Basket - SP - KW - Main - KW Exact,USD,7,526,1.3300%,$2.36,$0.3371,1,$18.95,12.4500%,8.03,14.2900%
"May 9, 2022","Jun 7, 2022",b07kcjgb6r,5,0.23%,"asin=\""B07KCJGB6R\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,3,520,0.5800%,$2.74,$0.9133,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",7 cake pan,2,23.14%,7 cake pan,EXACT,Cakeware Pans,Cakeware Pans 7 Inch - SP - KW - Main,Cakeware Pans 7 Inch - SP - KW - Main - KW Exact,USD,18,517,3.4800%,$28.79,$1.5994,3,$32.85,87.6400%,1.14,16.6700%
"May 9, 2022","Jun 7, 2022",instapot egg bites mold,5,9.32%,instapot egg bites mold,EXACT,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - KW - Main,Silicone Egg Bite Molds - SP - KW - Main - KW Exact,USD,22,513,4.2900%,$28.84,$1.3109,3,$77.85,37.0500%,2.70,13.6400%
"May 9, 2022","Jun 7, 2022",sophia mills plant stand,1,91.44%,sophia mills plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,11,508,2.1700%,$3.2,$0.2909,4,$159.8,2.0000%,49.94,36.3600%
"May 9, 2022","Jun 7, 2022",sophia mills plant stand,1,91.44%,sophia mills plant stand,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,2,5,40.0000%,$1.59,$0.795,2,$74.85,2.1200%,47.08,100.0000%
"May 9, 2022","Jun 7, 2022",finish dishwasher cleaner,10,0.11%,finish dishwasher cleaner,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Comp,Dishwasher Cleaner - SP - KW - Comp - KW Exact,USD,7,508,1.3800%,$2.82,$0.4029,1,$15.95,17.6800%,5.66,14.2900%
"May 9, 2022","Jun 7, 2022",springform pan 6 inch,4,8.65%,springform pan 6,PHRASE,Cakeware Pans,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 7 Inch - SP - KW - Phrase - KW Phrase,USD,3,6,50.0000%,$2.22,$0.74,2,$19.4,11.4400%,8.74,66.6700%
"May 9, 2022","Jun 7, 2022",springform pan 6 inch,4,8.65%,springform pan 6 inch,PHRASE,Cakeware Pans,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 7 Inch - SP - KW - Phrase - KW Phrase,USD,32,494,6.4800%,$23.42,$0.7319,6,$73.2,31.9900%,3.13,18.7500%
"May 9, 2022","Jun 7, 2022",the wash warrior,1,47.37%,wash warrior,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Comp,Washing Machine Cleaner - SP - KW - Comp - KW Exact,USD,124,495,25.0500%,$199.87,$1.6118999999999999,35,$525.29,38.0500%,2.63,28.2300%
"May 9, 2022","Jun 7, 2022",wall shelves for bedroom,178,0.02%,wall shelf bedroom,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,13,495,2.6300%,$17.16,$1.32,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07xznv84l,1,71.91%,"asin=\""B07XZNV84L\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,2,494,0.4000%,$2.43,$1.215,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b087b49xcf,1,87.59%,"asin=\""B087B49XCF\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,10,487,2.0500%,$8.56,$0.856,2,$25.9,33.0500%,3.03,20.0000%
"May 9, 2022","Jun 7, 2022",mini cheesecake pan,2,13.59%,mini cheesecake pans,EXACT,Cakeware Pans,Cakeware Pans 4 Inch - SP - KW - Main,Cakeware Pans 4 Inch - SP - KW - Main - KW Exact,USD,8,483,1.6600%,$9.21,$1.1513,2,$37.9,24.3000%,4.12,25.0000%
"May 9, 2022","Jun 7, 2022",b011bxk83i,1,92.31%,"asin=\""B011BXK83I\""",-,Cakeware Pans,Cakeware Pans 9 Inch - SP - Prod - Comp,Cakeware Pans 9 Inch - SP - Prod - Comp - ASIN Comp - Direct,USD,2,480,0.4200%,$1.7,$0.85,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07l698pnl,1,64.63%,"asin=\""B07L698PNL\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,7,475,1.4700%,$5.42,$0.7743000000000001,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",miniature springform pans,1,98.74%,miniature springform pan,EXACT,Cakeware Pans,Cakeware Pans 4 Inch - SP - KW - Main,Cakeware Pans 4 Inch - SP - KW - Main - KW Exact,USD,5,469,1.0700%,$2.9,$0.58,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b081stwdxq,1,61.82%,"asin=\""B081STWDXQ\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,6,468,1.2800%,$11.71,$1.9516999999999998,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",planter wooden stand,1,52.47%,planter wooden stand,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,1,10,10.0000%,$0.3,$0.3,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",planter wooden stand,1,52.47%,planter wooden stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,6,457,1.3100%,$4.5,$0.75,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",kitchen shelves for wall,8,1.62%,kitchen shelves for wall,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,14,461,3.0400%,$23.47,$1.6764,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",sodium percarbonate laundry,4,3.27%,sodium percarbonate laundry,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 2,USD,15,457,3.2800%,$40.36,$2.6907,2,$49.9,80.8800%,1.24,13.3300%
"May 9, 2022","Jun 7, 2022",athletic laundry detergent,1,40.79%,athletic laundry detergent,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,USD,20,456,4.3900%,$70.38,$3.5189999999999997,13,$303.37,23.2000%,4.31,65.0000%
"May 9, 2022","Jun 7, 2022",steamer food,49,0.17%,steamer food,EXACT,Silicone Steamer Basket,Silicone Steamer Basket - SP - KW - Main,Silicone Steamer Basket - SP - KW - Main - KW Exact,USD,3,443,0.6800%,$1.04,$0.3467,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",steamer food,49,0.17%,steamer for food,EXACT,Exp Steamer Basket,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Exact,USD,1,10,10.0000%,$0.8,$0.8,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",steamer for cooking,134,0.01%,cooking steamer,BROAD,Silicone Steamer Basket,Silicone Steamer Basket - SP - KW - Main,Silicone Steamer Basket - SP - KW - Main - KW Broad,USD,1,128,0.7800%,$0.11,$0.11,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",steamer for cooking,134,0.01%,steamers cooking,EXACT,Exp Steamer Basket,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Exact,USD,3,275,1.0900%,$0.75,$0.25,1,$12.95,5.7900%,17.27,33.3300%
"May 9, 2022","Jun 7, 2022",steamer for cooking,134,0.01%,steamer cooking,EXACT,Exp Steamer Basket,Exp Steamer Basket - SP - KW - Main,Exp Steamer Basket - SP - KW - Main - KW Exact,USD,3,48,6.2500%,$1.65,$0.55,2,$25.9,6.3700%,15.70,66.6700%
"May 9, 2022","Jun 7, 2022",instapot sealing ring 8 qt,2,38.76%,instapot sealing ring 8 qt,EXACT,IP Sealing Ring,IP Sealing Ring 8 QT - SP - KW - Main,IP Sealing Ring 8 QT - SP - KW - Main - KW Exact - Set 1,USD,11,450,2.4400%,$14.17,$1.2882,2,$35.98,39.3800%,2.54,18.1800%
"May 9, 2022","Jun 7, 2022",washer machine cleaner tablets,9,1.72%,washer machine cleaner tablets,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,124,450,27.5600%,$205.17,$1.6546,55,$824.29,24.8900%,4.02,44.3500%
"May 9, 2022","Jun 7, 2022",wash machine cleaner tablets,3,1.16%,wash machine cleaner tablets,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,79,449,17.5900%,$151.39,$1.9163,36,$533.26,28.3900%,3.52,45.5700%
"May 9, 2022","Jun 7, 2022",clothes washer cleaner,5,3.89%,clothes washer cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,44,438,10.0500%,$114.57,$2.6039,22,$343.9,33.3100%,3.00,50.0000%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner pods,8,1.34%,dishwasher cleaner pods,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,18,401,4.4900%,$36.69,$2.0383,10,$157.5,23.3000%,4.29,55.5600%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner pods,8,1.34%,dishwasher cleaner pod,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,7,36,19.4400%,$16.79,$2.3986,1,$15.95,105.2700%,0.95,14.2900%
"May 9, 2022","Jun 7, 2022",active washing machine tablets,1,93.32%,active washing machine tablets,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 3,USD,291,433,67.2100%,$57.45,$0.1974,99,$1442.31,3.9800%,25.11,34.0200%
"May 9, 2022","Jun 7, 2022",b0876g8y88,5,4.58%,"asin=\""B0876G8Y88\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,6,430,1.4000%,$12.46,$2.0766999999999998,1,$15.95,78.1200%,1.28,16.6700%
"May 9, 2022","Jun 7, 2022",b01khhfcks,2,16.67%,"asin=\""B01KHHFCKS\""",-,Cakeware Pans,Cakeware Pans 7 Inch - SP - Prod - Comp,Cakeware Pans 7 Inch - SP - Prod - Comp - ASIN Comp - Direct,USD,6,429,1.4000%,$1.33,$0.2217,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",lg tub cleaner tablets,2,40.94%,lg tub cleaner tablets,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Comp,Washing Machine Cleaner - SP - KW - Comp - KW Exact,USD,57,429,13.2900%,$91.0,$1.5965,35,$509.34,17.8700%,5.60,61.4000%
"May 9, 2022","Jun 7, 2022",sport wash,3,16.12%,sport wash,EXACT,Active Detergent,Active Detergent - SP - KW - Comp,Active Detergent - SP - KW - Comp - KW Exact,USD,10,429,2.3300%,$50.08,$5.008,4,$91.81,54.5500%,1.83,40.0000%
"May 9, 2022","Jun 7, 2022",b07d7jf39q,9,0.19%,"asin=\""B07D7JF39Q\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,1,426,0.2300%,$0.5,$0.5,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",wooden bathroom shelves,12,2.78%,wooden bathroom shelves,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,2,425,0.4700%,$0.6,$0.3,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b074cp5qb2,1,75.58%,"asin=\""B074CP5QB2\""",-,No Portfolio,Silicone Steamer Basket - SP - Prod - Comp,Silicone Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct Silicone Steamers,USD,7,421,1.6600%,$3.76,$0.5371,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",silicone roasting rack,7,2.41%,silicone roasting rack,EXACT,Silicone Roasting Rack,Silicone Roasting Rack - SP - KW - Main,Silicone Roasting Rack - SP - KW - Main - KW Exact,USD,12,345,3.4800%,$10.81,$0.9007999999999999,2,$25.9,41.7400%,2.40,16.6700%
"May 9, 2022","Jun 7, 2022",silicone roasting rack,7,2.41%,silicone rack,BROAD,Silicone Bakeware Sling,Silicone Bakeware Sling - SP - KW - Main,Silicone Bakeware Sling - SP - KW - Main - KW Broad,USD,2,76,2.6300%,$1.37,$0.685,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",midcentury modern plant stand,3,10.72%,midcentury modern plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,3,420,0.7100%,$2.81,$0.9367,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",goldlion steam diverter,1,63.85%,goldlion steam diverter,EXACT,IP Steam Diverters,Steam Diverter LUX - SP - KW - Main,Steam Diverter LUX - SP - KW - Main - KW Exact,USD,5,208,2.4000%,$2.82,$0.564,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",goldlion steam diverter,1,63.85%,goldlion steam diverter,EXACT,IP Steam Diverters,Steam Diverter DUO - SP - KW - Main,Steam Diverter DUO - SP - KW - Main - KW Exact,USD,4,207,1.9300%,$1.64,$0.41,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",tide washing machine cleaner,8,0.63%,tide washing machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Comp,Washing Machine Cleaner - SP - KW - Comp - KW Exact,USD,16,411,3.8900%,$25.43,$1.5894,4,$59.8,42.5300%,2.35,25.0000%
"May 9, 2022","Jun 7, 2022",active laundry detergent,1,66.50%,active laundry detergent,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,USD,47,409,11.4900%,$80.59,$1.7147,15,$366.26,22.0000%,4.54,31.9100%
"May 9, 2022","Jun 7, 2022",laundry machine cleaning tablets,3,7.65%,laundry machine cleaning tablets,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,48,407,11.7900%,$102.86,$2.1429,27,$398.72,25.8000%,3.88,56.2500%
"May 9, 2022","Jun 7, 2022",plant stand light brown,2,32.74%,plant stand light brown,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,1,407,0.2500%,$0.91,$0.91,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b07vlv9499,1,80.72%,"asin=\""B07VLV9499\""",-,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - Prod - Comp,Silicone Egg Bite Molds  - SP - Prod - Comp - ASIN Comp - No Sling 1 Pack,USD,5,406,1.2300%,$5.03,$1.006,3,$77.85,6.4600%,15.48,60.0000%
"May 9, 2022","Jun 7, 2022",instant pot ring 3 qt,1,84.23%,instant pot rings 3 qt,EXACT,IP Sealing Ring,IP Sealing Ring 3 QT - SP - KW - Main,IP Sealing Ring 3 QT - SP - KW - Main - KW Exact,USD,10,406,2.4600%,$7.71,$0.7709999999999999,4,$59.96,12.8600%,7.78,40.0000%
"May 9, 2022","Jun 7, 2022",wood wall shelf,9,2.50%,wood wall shelves,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,10,343,2.9200%,$11.07,$1.107,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",wood wall shelf,9,2.50%,wood wall shelf,EXACT,Floating Shelves,Floating Shelves - SP - KW - Main,Floating Shelves - SP - KW - Main - KW Exact,USD,5,58,8.6200%,$7.39,$1.4780000000000002,1,$59.95,12.3300%,8.11,20.0000%
"May 9, 2022","Jun 7, 2022",b00rrd4q1c,2,31.30%,"asin=\""B00RRD4Q1C\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,6,400,1.5000%,$11.03,$1.8383,1,$15.95,69.1500%,1.45,16.6700%
"May 9, 2022","Jun 7, 2022",extendable plant stand,1,100.00%,extendable plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,7,400,1.7500%,$9.09,$1.2986000000000002,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instant pot mold,1,98.77%,instant pot mold,EXACT,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - KW - Main,Silicone Egg Bite Molds - SP - KW - Main - KW Exact,USD,5,400,1.2500%,$4.38,$0.8759999999999999,0,$0.0,,0.00,0.0000%
